Id;Bereich;Sachnummer;Bezeichnung;Bezugsquelle;Preis;Breite Laserzuschnitt in mm;Breite Laserzuschnitt in mm;Bauteilgewicht in kg;Materialsärke in mm;Material;Anzahl der Abkantungen;Laseraussparungen vorhanden? Wenn ja: Gesamtlänge aller Aussparungen in mm
81;B;6079891;Platte;Eigenfertigungsteil;9,83;266;245,1;3,265;12;S355MC;0;508,08
82;B;6079902;Verstärkung;Eigenfertigungsteil;1,87;161;162,1;0,582;3;S355MC;1;39
83;B;6079931;Endblech;Eigenfertigungsteil;5,31;420;211,4;1,954;6;S355MC;0;292,098
84;B;6080210;Platte;Eigenfertigungsteil;2,14;187;160,8;0,716;6;S355MC;0;138,788
85;B;6080239;Rückwand re;Eigenfertigungsteil;24,21;987,3;687;14,264;3;S355MC;3;407
86;B;6080957;Rückwand li;Eigenfertigungsteil;24,63;985,2;687;11,934;3;S355MC;3;621
87;B;6160231;Lagerblech re;Eigenfertigungsteil;7,44;624,2;180,2;2,265;4;S355MC;3;424,92
88;B;6160248;Lagerblech li;Eigenfertigungsteil;7,44;624,2;180,2;2,265;4;S355MC;3;424,92
89;B;6162910;Verstärkung;Eigenfertigungsteil;0,95;116,6;78;0,214;6;S355MC;0;64,37
90;B;9879940;Verstärkung;Eigenfertigungsteil;2;250,6;217;0,354;2;DC01-A;3;361,1
91;B;4846028;Träger;Eigenfertigungsteil;25,98;747,9;320,8;7,399;15;S355MC;0;406,04
92;B;4861037;Bodenblech li;Eigenfertigungsteil;103,93;2403;739,2;42;3;S355MC;5;1796,08
93;B;4901884;Träger;Eigenfertigungsteil;9,78;518,4;124,4;2,612;15;S355MC;0;0
94;B;4903906;Platte li;Eigenfertigungsteil;13,45;641,7;218,7;3,958;8;S355MC;2;508,2
95;B;4940712;Träger li;Eigenfertigungsteil;22,6;1665,5;173,5;9,034;4;S355MC;2;1516,92
96;B;6196803;Konsole;Eigenfertigungsteil;7,73;276;185;3,047;12;S355MC;0;188,4
