Bereich,Bezeichnung,Bezugsquelle,Preis,Breite Laserzuschnitt in mm 1,Breite Laserzuschnitt in mm 2,Bauteilgewicht in kg,Materialsärke in mm,Material,Anzahl der Abkantungen,Gesamtlänge aller Aussparungen in mm,Flaeche,Dichte
C,Platte,Eigenfertigungsteil,12.45,346.7,285.5,4.098,12.0,S355MC,0,279.8,98982.84999999999,41.401111404652426
C,Platte,Eigenfertigungsteil,12.99,351.5,285.5,4.107,12.0,S355MC,0,279.8,100353.25,40.925430915291734
C,Blech,Eigenfertigungsteil,12.14,2288.7,179.7,3.218,1.0,DC01-A,3,157.68,411279.38999999996,7.824364843567775
C,Knotenblech,Eigenfertigungsteil,1.05,123.0,114.0,0.23,8.0,S355MC,0,0.0,14022.0,16.40279560690344
C,Platte,Eigenfertigungsteil,4.06,418.6,134.5,1.96,5.0,S355MC,0,94.2,56301.700000000004,34.8124479367408
C,Bodenblech li,Eigenfertigungsteil,9.84,1554.6,512.1,6.662,5.0,S550MC,2,1259.516,796110.66,8.368183387972723
C,Bodenblech re,Eigenfertigungsteil,9.84,1554.6,512.1,6.654,5.0,S550MC,2,1259.516,796110.66,8.35813453370917
C,Getriebehalter,Eigenfertigungsteil,19.69,715.7,268.6,6.28,8.0,S355MC,3,368.14,192237.02000000002,32.66800536129825
C,U-Blech,Eigenfertigungsteil,112.8,1300.0,842.8,38.952,5.0,S550MC,2,1274.84,1095640.0,35.5518235916907
C,Lasche,Eigenfertigungsteil,12.17,287.9,332.2,4.048,12.0,S355MC,0,228.4,95640.37999999999,42.325218699465644
C,Blech,Eigenfertigungsteil,6.32,1172.0,179.8,1.634,1.0,DC01-A,3,157.68,210725.6,7.754159912227085
C,Deckel,Eigenfertigungsteil,38.68,1113.3,430.6,17.856,6.0,S355MC,0,784.11,479386.98,37.24756980258413
C,Flanschplatte,Eigenfertigungsteil,44.3,438.4,456.7,8.279,15.0,S355MC,0,1748.7,200217.28,41.35007727604731
C,Platte,Eigenfertigungsteil,1.95,121.9,88.1,0.454,10.0,S355MC,0,143.184,10739.39,42.27428187262033
C,Platte,Eigenfertigungsteil,14.89,313.9,294.4,3.419,12.0,S355MC,0,257.48,92412.15999999999,36.99729559399976
C,Lasche,Eigenfertigungsteil,8.8,283.6,197.9,2.312,15.0,S355MC,0,163.156,56124.44000000001,41.19417494410634
C,Bodenblech,Eigenfertigungsteil,24.32,645.4,830.6,6.296,5.0,S550MC,4,802.78,536069.24,11.74475148023789
C,Bodenblech,Eigenfertigungsteil,26.44,709.7,831.5,5.77,5.0,S550MC,2,1585.92,590115.55,9.77774607023997
